,AROU_M,VAL_M,DOM_M,CNC_M,IMAG_M,FAM_M,AOA_M,SIZE_M,GEND_M
dim_25,-0.03489743132404843,-0.05407406474351519,-0.0868306176097453,-0.04857019076836379,-0.011680129339773302,-0.03864309264227527,0.07059929784724299,-0.06073526749149981,-0.085981779514974
dim_26,0.04024819075335804,-0.014837001622973543,0.07177770908438347,-0.044912996438876314,-0.02690098418827253,-0.029597466457644713,0.0340173134890408,0.056697576029457304,0.108749022571111
dim_27,-0.21751417736668227,-0.001050172625292999,-0.08564770362232607,0.09648221717827747,0.07346310221045498,0.05571477305287586,-0.05064637260712015,-0.16914781643201732,0.012791460251332185
dim_28,-0.07434845718546507,0.016739938692451505,0.08891198872809183,0.03135056130000007,0.022831447775102813,0.003779477792066695,-0.06512684351746907,-0.0033251311046506036,0.07383063015919612
dim_29,-0.11586852107164486,0.008344697609829565,-0.03858834968525997,0.02964493522428887,0.0265581953858434,0.05154161663819956,-0.14101358051625373,-0.1612593885158827,-0.12093651719350436
dim_30,-0.16818530517863428,0.060682315460142335,0.04909266677797522,0.1081081898634798,0.074794993182903,-0.07888684947970859,0.014333857640336418,-0.09482165432146356,0.021708621089144384
dim_31,-0.04627493558968392,0.06392415656567946,0.040836585585342686,-0.05770358005442935,-0.03955396231223288,0.04111656833724442,-0.023689716503938335,0.035612179989048795,-0.07503422568814412
dim_32,0.08423596081378691,0.16063759088112398,0.15617817852575244,-0.06217444381961065,-0.0896122572002142,0.003960186105957477,0.018179310748371397,0.006221887755256565,-0.012985309610975285
dim_33,0.030214791274159884,0.01852900478859482,0.050987622467603785,-0.0833626671185116,-0.08109508904375864,0.011296408663896907,0.06761880671859931,0.21622529390839762,0.050983120005481074
dim_34,0.021358286330265843,0.010894166648728403,0.020490244520033077,-0.09421615348700439,-0.04153457934615989,-0.018558520924208934,-0.011456835045665543,-0.014321944544274086,-0.0372404281806839
dim_35,0.040472199057672714,0.036351369622704244,0.05409238765894936,0.0244694020240532,0.0149320532963989,-0.02079158431466128,0.010942502490677655,0.03035469968957537,0.003964082190934591
dim_36,-0.054727096669039604,-0.04173500284052798,-0.035574143240945474,0.0013855362868009577,-0.011279346202419702,-0.04036040482512736,-0.015390714424084594,-0.016928311475287165,0.02433648566938538
dim_37,0.00545070792010571,-0.07091914444440207,0.0026045503542350785,0.00648881164466711,-0.0060289063845268,-0.0011653151838235127,0.0491573249308395,-0.04404065743035793,0.015897457815221644
dim_38,0.13893883894823944,0.09076513672754882,0.0773894411843259,-0.0877568781056707,-0.0477385919871213,-0.025719545819776427,0.021623555189188307,0.04956550292807243,-0.01835205044866782
