Property,VIF
AROU,35.29334213715631
VAL,32.8189601800014
DOM,76.00960137418433
CNC,86.22645202262206
IMAG,98.93840433616884
FAM,33.57358483050946
AOA,13.87290351705326
SIZE,31.54025247111305
GEND,31.5874698975347
