,AROU_M,VAL_M,DOM_M,CNC_M,IMAG_M,FAM_M,AOA_M,SIZE_M,GEND_M
dim_129,-0.07226544175265899,-0.031556378262242925,-0.03413754895542317,0.006693591728230815,0.002018699315768302,-0.01112118510987745,-0.023028697342545316,-0.05049611159521408,-0.013451867292813209
dim_130,0.002493673062090547,-0.0010939309073930107,0.00476636588196776,0.010534196889846902,0.019748688624905385,0.07072345475884567,-0.009528878891632574,-0.00015850502646993668,-0.022256004565870513
dim_131,-0.01699456495387598,-0.03224646855174033,-0.0349345785541878,0.02834557868845352,0.015025997332779753,-0.05264805477327363,0.038493854809758324,-0.03434117563224318,0.055753729867724866
dim_132,0.02286479730297837,-0.023442332180381806,-0.007727496421834468,-0.06380490153256284,-0.06156075407751784,0.005823479255773316,0.031271268859406155,0.07459205468478237,0.01142835622928159
dim_133,0.04674568374027091,-0.01513330204992865,0.009715266454478906,0.02390289708915713,0.03549329881591182,0.006524140958327791,-0.06472199822813478,0.01591625562372872,0.05448809897487778
dim_134,0.013339312392342177,-0.03983419404644682,-0.027922749507585616,-0.01481409810968449,-0.02653177637440234,-0.024800270089992228,0.012979002733789293,0.0303023196797096,0.07426371096889821
dim_135,0.028291667077240203,0.030643872808329566,0.05562190384413539,0.03536399333333758,0.04317308930239412,-0.009089487409654089,0.006786305126163934,0.017071457395962226,0.021307772485016436
dim_136,0.0488259633621084,0.01589952368746077,0.03755501019706956,0.0374117486792836,0.04350200114473896,0.013201219432374409,-0.01993649073182197,-0.02244130955488096,0.03518539219378535
dim_137,0.030762044775340346,0.045805983310336994,0.0251189576741466,0.035580841556857964,0.019495679509457364,0.03466198645945166,-0.009828490306286105,-0.01951753656316065,-0.01975702472742724
dim_138,-0.011560386728268113,-0.014170938622889255,-0.015206740861235907,0.010006664144128215,0.016644120999111445,-0.008757318913195136,-0.004410271551215374,-0.011093194855371254,-0.050632346748419405
dim_139,-0.017589203890709844,-0.01436890418029236,-0.0012328041183186404,0.058140048404881475,0.049307255830820115,-0.07200258531768633,0.01795952156456297,0.001464450494674868,-0.0016902127001386118
dim_140,-0.018108211580150895,-0.05824517614040216,-0.04824504660310412,-0.05475451200254338,-0.03571964126822692,0.004719042472261975,0.013968669034649599,0.025612137956131903,0.030012995226080214
